2025-01-28 06:05:02 startup archives install
2025-01-28 06:05:02 install base-passwd:arm64 <none> 3.6.6
2025-01-28 06:05:02 status half-installed base-passwd:arm64 3.6.6
2025-01-28 06:05:03 status unpacked base-passwd:arm64 3.6.6
2025-01-28 06:05:03 configure base-passwd:arm64 3.6.6 3.6.6
2025-01-28 06:05:03 status half-configured base-passwd:arm64 3.6.6
2025-01-28 06:05:08 status installed base-passwd:arm64 3.6.6
2025-01-28 06:05:08 startup archives install
2025-01-28 06:05:08 install base-files:arm64 <none> 1:2024.4.1
2025-01-28 06:05:08 status half-installed base-files:arm64 1:2024.4.1
2025-01-28 06:05:09 status unpacked base-files:arm64 1:2024.4.1
2025-01-28 06:05:09 configure base-files:arm64 1:2024.4.1 1:2024.4.1
2025-01-28 06:05:09 status half-configured base-files:arm64 1:2024.4.1
2025-01-28 06:05:11 status installed base-files:arm64 1:2024.4.1
2025-01-28 06:05:11 startup archives install
2025-01-28 06:05:11 upgrade dpkg 1.22.11+kali2 1.22.11+kali2
2025-01-28 06:05:11 status half-configured dpkg 1.22.11+kali2
2025-01-28 06:05:11 status unpacked dpkg 1.22.11+kali2
2025-01-28 06:05:11 status half-installed dpkg 1.22.11+kali2
2025-01-28 06:05:12 status unpacked dpkg:arm64 1.22.11+kali2
2025-01-28 06:05:12 configure dpkg:arm64 1.22.11+kali2 1.22.11+kali2
2025-01-28 06:05:12 status half-configured dpkg:arm64 1.22.11+kali2
2025-01-28 06:05:20 status installed dpkg:arm64 1.22.11+kali2
2025-01-28 06:05:20 startup archives install
2025-01-28 06:05:20 install libc6:arm64 <none> 2.40-3
2025-01-28 06:05:20 status half-installed libc6:arm64 2.40-3
2025-01-28 06:05:27 status unpacked libc6:arm64 2.40-3
2025-01-28 06:05:27 configure libc6:arm64 2.40-3 2.40-3
2025-01-28 06:05:27 status half-configured libc6:arm64 2.40-3
2025-01-28 06:05:31 status installed libc6:arm64 2.40-3
2025-01-28 06:05:31 startup archives install
2025-01-28 06:05:32 install perl-base:arm64 <none> 5.40.0-8
2025-01-28 06:05:32 status half-installed perl-base:arm64 5.40.0-8
2025-01-28 06:05:33 status unpacked perl-base:arm64 5.40.0-8
2025-01-28 06:05:33 configure perl-base:arm64 5.40.0-8 5.40.0-8
